datetime,openPrice,closePrice,highPrice,lowPrice
201803122017,104161,104521,104610,104156
201803122018,104521,104290,104712,104191
201803122019,104290,104186,104443,104043
201803122020,104178,104460,104521,104024
201803122021,104477,104792,105073,104477
201803122022,104806,104642,104906,104624
201803122023,104642,104642,104731,104560
201803122024,104584,104751,104864,104584
201803122025,104751,104585,104751,104582
201803122026,104585,104772,104786,104555
201803122027,104772,104779,104856,104770
201803122028,104779,104682,104779,104682
201803122029,104682,104526,104682,104523
201803122030,104526,104425,104526,104322
201803122031,104425,104743,104772,104425
201803122032,104743,104850,104883,104733
201803122033,104850,104669,104872,104667
201803122034,104669,104791,104791,104597
201803122035,104791,105266,105266,104791
201803122036,105266,105542,105601,105266
201803122037,105542,105489,105725,105489
201803122038,105489,105664,105700,105478
201803122039,105680,105860,105945,105680
201803122040,105849,105809,105883,105742
201803122041,105809,105817,105914,105806
201803122042,105862,105850,105882,105730
201803122043,105850,106086,106194,105850
201803122044,106086,105976,106151,105926
201803122045,105976,106194,106203,105913
201803122046,106194,105773,106254,105773
201803122047,105773,105970,105970,105773
201803122048,105970,105957,105982,105920
201803122049,105957,105918,105957,105840
201803122050,105918,105910,105979,105886
201803122051,105910,105865,105911,105857
201803122052,105865,105955,106018,105801
201803122053,105955,106598,106598,105955
201803122054,106598,106699,106813,106598
201803122055,106699,106500,106707,106490
201803122056,106505,106563,106651,106505
201803122057,106531,106415,106604,106415
201803122058,106413,106358,106461,106299
201803122059,106358,106330,106399,106307
201803122100,106331,106252,106331,106211
201803122101,106252,106330,106354,106252
201803122102,106330,106287,106351,106249
201803122103,106287,106054,106287,106054
201803122104,106054,106011,106054,105817
201803122105,106011,106135,106140,106011
201803122106,106135,106296,106296,106074
201803122107,106296,106154,106296,106092
201803122108,106154,106366,106411,106100
201803122109,106366,106317,106457,106271
201803122110,106317,106213,106327,106169
201803122111,106213,106283,106316,106210
201803122112,106283,106262,106293,106195
201803122113,106262,106202,106327,106129
201803122114,106199,106123,106200,106043
201803122115,106126,105992,106183,105992
201803122116,105987,105709,105987,105709
201803122117,105709,105788,105788,105690
201803122118,105771,105943,105959,105771
201803122119,105943,105681,105943,105589
201803122120,105681,105623,105840,105623
201803122121,105623,105719,105719,105494
201803122122,105719,105757,105830,105719
201803122123,105757,105714,105757,105605
201803122124,105714,105696,105729,105636
201803122125,105696,105581,105705,105581
201803122126,105581,105742,105745,105551
201803122127,105742,105995,106025,105723
201803122128,105995,106021,106071,105920
201803122129,106021,105956,106032,105878
201803122130,105956,105759,105956,105729
201803122131,105759,105827,105827,105759
201803122132,105805,105811,105862,105780
201803122133,105872,106202,106300,105869
201803122134,106207,106292,106386,106207
201803122135,106268,106309,106346,106232
201803122136,106304,106188,106304,106070
201803122137,106188,106094,106211,106094
201803122138,106094,105996,106200,105981
201803122139,105996,105910,106024,105882
201803122140,105910,106187,106197,105859
201803122141,106187,106099,106289,106051
201803122142,106099,106158,106229,106099
201803122143,106158,106143,106203,106135
201803122144,106143,106280,106280,106112
201803122145,106280,106406,106537,106280
201803122146,106406,106442,106450,106348
201803122147,106442,106224,106456,106212
201803122148,106224,106400,106400,106211
201803122149,106400,106446,106525,106400
201803122150,106446,106452,106495,106444
201803122151,106452,107013,107013,106452
201803122152,106991,106867,107143,106862
201803122153,106857,106843,106932,106738
201803122154,106798,106991,107048,106798
201803122155,107030,107120,107129,106970
201803122156,107120,107078,107228,107072
201803122157,107078,107066,107116,107062
201803122158,107066,107010,107085,106955
201803122159,107010,107285,107311,107010
201803122200,107285,107263,107574,107263
201803122201,107263,107523,107523,107263
201803122202,107523,107509,107570,107465
201803122203,107509,107741,107754,107509
201803122204,107741,107941,107941,107741
201803122205,107941,107717,107949,107638
201803122206,107717,107548,107717,107548
201803122207,107548,107620,107637,107529
201803122208,107620,107713,107833,107582
201803122209,107713,107459,107781,107458
201803122210,107459,107648,107765,107423
201803122211,107728,107554,107775,107554
201803122212,107597,107853,107890,107597
201803122213,107853,107843,108015,107827
201803122214,107843,107626,107843,107514
201803122215,107626,107709,107761,107595
201803122216,107709,107715,107784,107585
201803122217,107715,107466,107715,107455
201803122218,107466,107255,107500,107252
201803122219,107255,107421,107436,107190
201803122220,107421,107358,107421,107335
201803122221,107358,107086,107358,107086
201803122222,107086,106997,107120,106972
201803122223,106997,107215,107220,106982
201803122224,107215,107175,107241,107109
201803122225,107175,107247,107249,107175
201803122226,107247,107341,107341,107169
201803122227,107341,107561,107580,107341
201803122228,107646,107677,107732,107606
201803122229,107677,107491,107731,107432
201803122230,107491,107418,107526,107323
201803122231,107418,107345,107473,107345
201803122232,107345,107309,107393,107279
201803122233,107309,107375,107451,107309
201803122234,107375,107225,107443,107222
201803122235,107225,106973,107306,106940
201803122236,106973,106221,106974,106221
201803122237,106221,106167,106272,106136
201803122238,106167,106115,106233,106108
201803122239,106115,105753,106146,105731
201803122240,105753,105816,105873,105708
201803122241,105816,106060,106088,105814
201803122242,106060,105892,106064,105892
201803122243,105892,105998,106092,105892
201803122244,105998,106551,106573,105998
201803122245,106551,106407,106562,106323
201803122246,106486,106488,106539,106373
201803122247,106469,106374,106549,106336
201803122248,106445,106582,106582,106334
201803122249,106583,106554,106684,106508
201803122250,106554,106558,106678,106553
201803122251,106558,106523,106605,106369
201803122252,106523,106515,106594,106510
201803122253,106515,106556,106556,106383
201803122254,106556,106669,106738,106549
201803122255,106669,106560,106669,106552
201803122256,106560,106660,106660,106509
201803122257,106660,106587,106692,106580
201803122258,106587,106428,106634,106324
201803122259,106428,106335,106428,106167
201803122300,106335,106425,106533,106324
201803122301,106425,106465,106468,106408
201803122302,106465,106795,106795,106430
201803122303,106795,106631,106795,106568
201803122304,106631,106565,106761,106565
201803122305,106563,106576,106687,106559
201803122306,106575,106670,106696,106469
201803122307,106691,106965,106974,106690
201803122308,106968,106788,106992,106788
201803122309,106787,106583,106787,106558
201803122310,106583,106693,106772,106479
201803122311,106693,106653,106805,106640
201803122312,106653,106610,106671,106577
201803122313,106610,106679,106734,106597
201803122314,106679,106874,106898,106679
201803122315,106874,106749,106916,106717
201803122316,106749,106889,106903,106729
201803122317,106889,106872,106889,106812
201803122318,106872,106947,107054,106872
201803122319,106947,106879,106975,106753
201803122320,106879,106960,106960,106696
201803122321,106960,107162,107162,106960
201803122322,107162,107182,107209,107127
201803122323,107182,107107,107201,107107
201803122324,107109,107009,107137,106951
201803122325,106988,107068,107140,106988
201803122326,107068,107093,107232,107033
201803122327,107093,107254,107264,107076
201803122328,107254,107740,107740,107254
201803122329,107740,107823,107948,107740
201803122330,107823,107894,108176,107823
201803122331,107894,107860,108005,107833
201803122332,107860,107622,107876,107560
201803122333,107622,107653,107758,107563
201803122334,107653,107635,107674,107618
201803122335,107635,107777,107777,107607
201803122336,107777,107918,107947,107777
201803122337,107918,107652,107918,107611
201803122338,107652,107727,107780,107605
201803122339,107727,107846,107879,107727
201803122340,107846,107850,107970,107780
201803122341,107850,107898,108081,107849
201803122342,107841,107819,107957,107709
201803122343,107828,107802,107903,107802
201803122344,107802,107578,107845,107456
201803122345,107567,107721,107816,107567
201803122346,107721,107785,107866,107668
201803122347,107785,107871,107878,107691
201803122348,107871,107857,107939,107701
201803122349,107857,107806,107966,107805
201803122350,107806,107856,107900,107806
201803122351,107856,107932,107932,107817
201803122352,107932,108010,108138,107932
201803122353,108010,108067,108070,108000
201803122354,108067,107778,108069,107778
201803122355,107778,107539,107791,107539
201803122356,107539,106986,107553,106986
201803122357,106986,107104,107110,106883
201803122358,107104,107277,107351,107104
201803122359,107277,107245,107390,107180
201803130000,107245,106964,107254,106954
201803130001,106964,106685,106964,106668
201803130002,106717,106712,106807,106617
201803130003,106729,106963,106985,106729
201803130004,106963,106989,106989,106932
201803130005,106966,106991,107087,106966
201803130006,106991,107013,107094,106974
201803130007,107013,107252,107383,107013
201803130008,107252,107260,107310,107217
201803130009,107260,107367,107379,107231
201803130010,107367,107242,107404,107242
201803130011,107242,107169,107242,106955
201803130012,107169,107490,107490,107148
201803130013,107490,107567,107779,107436
201803130014,107567,107908,107908,107567
201803130015,107908,107889,107937,107841
201803130016,107889,107772,107911,107708
201803130017,107772,107896,107899,107772
201803130018,107896,107822,107898,107772
201803130019,107822,107835,107923,107822
201803130020,107841,107709,107842,107709
201803130021,107709,107638,107709,107568
201803130022,107629,107740,107805,107551
