datetime,openPrice,closePrice,highPrice,lowPrice
201803122017,951332,954277,954924,951051
201803122018,954163,952897,956216,952093
201803122019,952912,952639,954664,951543
201803122020,952773,955549,956020,951339
201803122021,955549,956677,958556,954403
201803122022,957226,956211,958068,955176
201803122023,956211,955835,956706,955574
201803122024,955835,957912,958545,955835
201803122025,957912,956660,958351,956570
201803122026,956660,957181,957279,956447
201803122027,957271,957571,958165,957156
201803122028,957563,956894,957563,956819
201803122029,956894,955055,956894,955055
201803122030,955055,954472,955055,953013
201803122031,954851,956545,956686,954786
201803122032,956471,957458,957790,956468
201803122033,957460,955791,957610,955791
201803122034,955794,956471,956471,955265
201803122035,956471,961045,961045,956471
201803122036,961045,962825,963540,960560
201803122037,962825,961728,964988,961706
201803122038,962328,963763,963849,962170
201803122039,963763,965284,966169,963676
201803122040,965284,964001,965423,963940
201803122041,964001,964736,965056,963854
201803122042,964736,965383,965384,963594
201803122043,965509,968187,968959,965509
201803122044,968187,966948,968734,965461
201803122045,966713,968395,968554,966292
201803122046,968513,964701,968905,964701
201803122047,965710,966065,966065,965680
201803122048,966155,965520,966170,965501
201803122049,965520,965358,965520,965162
201803122050,965358,965148,966187,965131
201803122051,965148,965327,965329,964371
201803122052,965327,966850,967130,965327
201803122053,966850,971409,971943,966850
201803122054,971409,972182,974185,971384
201803122055,972171,970127,972473,970124
201803122056,970169,971060,972168,970127
201803122057,971060,970324,971647,970021
201803122058,970324,969974,971129,969431
201803122059,969980,970573,970613,969750
201803122100,970579,969871,970597,969266
201803122101,969403,969617,969962,969383
201803122102,969617,969425,969953,969278
201803122103,969425,966730,969493,966730
201803122104,966745,967204,967204,965209
201803122105,967348,967216,967350,966902
201803122106,967216,969454,969454,967206
201803122107,969305,968764,970159,968137
201803122108,968764,970675,971156,968713
201803122109,970675,970122,970739,968910
201803122110,970122,969426,970696,969022
201803122111,969426,970377,970377,969186
201803122112,969984,969717,970500,969691
201803122113,969725,969378,970618,968545
201803122114,969374,968431,969418,968267
201803122115,968431,967568,968834,967498
201803122116,967634,965450,967634,965375
201803122117,965450,966072,966241,964404
201803122118,966072,967249,967703,966072
201803122119,967249,963399,967249,962742
201803122120,963399,962390,964801,962390
201803122121,962394,964627,964720,962173
201803122122,964819,965353,965915,964819
201803122123,965353,964568,965353,963598
201803122124,964613,964456,964886,964049
