datetime,openPrice,closePrice,highPrice,lowPrice
201803122017,77.0,77.0,77.0,77.0
201803122018,77.0,77.0,78.0,77.0
201803122019,77.0,77.0,77.0,77.0
201803122020,77.0,77.0,78.0,77.0
201803122021,77.0,78.0,78.0,77.0
201803122022,78.0,78.0,78.0,78.0
201803122023,78.0,78.0,78.0,78.0
201803122024,78.0,78.0,78.0,78.0
201803122025,78.0,78.0,78.0,78.0
201803122026,78.0,78.0,78.0,78.0
201803122027,78.0,78.0,78.0,78.0
201803122028,78.0,78.0,78.0,78.0
201803122029,78.0,78.0,78.0,78.0
201803122030,78.0,78.0,78.0,78.0
201803122031,78.0,78.0,78.0,78.0
201803122032,78.0,78.0,78.0,78.0
201803122033,78.0,78.0,78.0,78.0
201803122034,78.0,78.0,78.0,78.0
201803122035,78.0,78.0,78.0,78.0
201803122036,78.0,78.0,78.0,78.0
201803122037,78.0,78.0,78.0,78.0
201803122038,78.0,78.0,78.0,78.0
201803122039,78.0,78.0,78.0,78.0
201803122040,78.0,78.0,78.0,78.0
201803122041,78.0,78.0,78.0,78.0
201803122042,78.0,78.0,78.0,78.0
201803122043,78.0,79.0,79.0,78.0
201803122044,79.0,79.0,79.0,78.0
201803122045,79.0,79.0,79.0,78.0
201803122046,79.0,78.0,79.0,78.0
201803122047,78.0,78.0,78.0,78.0
201803122048,78.0,78.0,78.0,78.0
201803122049,78.0,78.0,78.0,78.0
201803122050,78.0,78.0,78.0,78.0
201803122051,78.0,78.0,78.0,78.0
201803122052,78.0,78.0,79.0,78.0
201803122053,78.0,79.0,79.0,78.0
201803122054,79.0,79.0,79.0,79.0
201803122055,79.0,79.0,79.0,79.0
201803122056,79.0,79.0,79.0,79.0
201803122057,79.0,79.0,79.0,79.0
201803122058,79.0,79.0,79.0,79.0
201803122059,79.0,79.0,79.0,79.0
201803122100,79.0,79.0,79.0,79.0
201803122101,79.0,79.0,79.0,79.0
201803122102,79.0,79.0,79.0,79.0
201803122103,79.0,79.0,79.0,79.0
201803122104,79.0,78.0,79.0,78.0
201803122105,78.0,78.0,78.0,78.0
201803122106,78.0,79.0,79.0,78.0
201803122107,79.0,79.0,79.0,79.0
201803122108,79.0,79.0,79.0,79.0
201803122109,79.0,79.0,79.0,79.0
201803122110,79.0,79.0,79.0,79.0
201803122111,79.0,79.0,79.0,79.0
201803122112,79.0,79.0,79.0,79.0
201803122113,79.0,79.0,79.0,79.0
201803122114,79.0,79.0,79.0,79.0
201803122115,79.0,78.0,79.0,78.0
201803122116,78.0,78.0,78.0,78.0
201803122117,78.0,78.0,78.0,78.0
201803122118,78.0,79.0,79.0,78.0
201803122119,79.0,78.0,79.0,78.0
201803122120,78.0,78.0,78.0,78.0
201803122121,78.0,78.0,78.0,78.0
201803122122,78.0,78.0,78.0,78.0
201803122123,78.0,78.0,78.0,78.0
201803122124,78.0,78.0,78.0,78.0
201803122125,78.0,78.0,78.0,78.0
201803122126,78.0,78.0,78.0,78.0
201803122127,78.0,78.0,78.0,78.0
201803122128,78.0,78.0,79.0,78.0
201803122129,78.0,78.0,78.0,78.0
201803122130,78.0,78.0,78.0,78.0
201803122131,78.0,78.0,78.0,78.0
201803122132,78.0,78.0,78.0,78.0
201803122133,78.0,79.0,79.0,78.0
201803122134,79.0,79.0,79.0,79.0
201803122135,79.0,79.0,79.0,79.0
201803122136,79.0,78.0,79.0,78.0
201803122137,78.0,78.0,78.0,78.0
201803122138,78.0,78.0,78.0,78.0
201803122139,78.0,78.0,78.0,78.0
201803122140,78.0,78.0,78.0,78.0
201803122141,78.0,78.0,78.0,78.0
201803122142,78.0,78.0,78.0,78.0
201803122143,78.0,78.0,78.0,78.0
201803122144,78.0,78.0,78.0,78.0
201803122145,78.0,78.0,78.0,78.0
201803122146,78.0,78.0,78.0,78.0
201803122147,78.0,78.0,78.0,78.0
201803122148,78.0,78.0,78.0,78.0
201803122149,78.0,78.0,78.0,78.0
201803122150,78.0,78.0,78.0,78.0
201803122151,78.0,79.0,79.0,78.0
201803122152,79.0,79.0,79.0,79.0
201803122153,79.0,78.0,79.0,78.0
201803122154,78.0,78.0,79.0,78.0
201803122155,79.0,79.0,79.0,78.0
201803122156,79.0,79.0,79.0,78.0
201803122157,79.0,79.0,79.0,79.0
201803122158,79.0,79.0,79.0,79.0
201803122159,79.0,79.0,79.0,79.0
201803122200,79.0,79.0,79.0,79.0
201803122201,79.0,79.0,79.0,79.0
201803122202,79.0,79.0,79.0,79.0
201803122203,79.0,79.0,79.0,79.0
201803122204,79.0,79.0,79.0,79.0
201803122205,79.0,79.0,79.0,79.0
201803122206,79.0,79.0,79.0,79.0
201803122207,79.0,79.0,79.0,79.0
201803122208,79.0,79.0,79.0,79.0
201803122209,79.0,79.0,79.0,79.0
201803122210,79.0,79.0,79.0,79.0
201803122211,79.0,79.0,79.0,79.0
201803122212,79.0,79.0,79.0,79.0
201803122213,79.0,79.0,80.0,79.0
201803122214,79.0,79.0,79.0,79.0
201803122215,79.0,79.0,79.0,79.0
201803122216,79.0,80.0,80.0,79.0
201803122217,80.0,79.0,80.0,79.0
201803122218,79.0,79.0,79.0,79.0
201803122219,79.0,79.0,79.0,79.0
201803122220,79.0,79.0,79.0,79.0
201803122221,79.0,79.0,79.0,79.0
201803122222,79.0,79.0,79.0,79.0
201803122223,79.0,79.0,79.0,79.0
201803122224,79.0,79.0,79.0,79.0
201803122225,79.0,79.0,79.0,79.0
201803122226,79.0,79.0,79.0,79.0
201803122227,79.0,79.0,80.0,79.0
201803122228,79.0,80.0,80.0,79.0
201803122229,80.0,79.0,80.0,79.0
201803122230,79.0,79.0,79.0,79.0
201803122231,79.0,79.0,79.0,79.0
201803122232,79.0,79.0,79.0,79.0
201803122233,79.0,79.0,79.0,79.0
201803122234,79.0,79.0,79.0,79.0
201803122235,79.0,79.0,79.0,79.0
201803122236,79.0,79.0,79.0,79.0
201803122237,79.0,79.0,79.0,79.0
201803122238,79.0,79.0,79.0,79.0
201803122239,79.0,79.0,79.0,79.0
201803122240,79.0,79.0,79.0,79.0
201803122241,79.0,79.0,79.0,79.0
201803122242,79.0,79.0,79.0,79.0
201803122243,79.0,79.0,79.0,79.0
201803122244,79.0,79.0,79.0,79.0
201803122245,79.0,79.0,79.0,79.0
201803122246,79.0,79.0,79.0,79.0
201803122247,79.0,79.0,79.0,79.0
201803122248,79.0,79.0,79.0,79.0
201803122249,79.0,79.0,79.0,79.0
201803122250,79.0,79.0,79.0,79.0
201803122251,79.0,79.0,79.0,79.0
201803122252,79.0,79.0,79.0,79.0
201803122253,79.0,79.0,79.0,79.0
201803122254,79.0,79.0,79.0,79.0
201803122255,79.0,79.0,79.0,79.0
201803122256,79.0,79.0,79.0,79.0
201803122257,79.0,79.0,79.0,79.0
201803122258,79.0,79.0,79.0,79.0
201803122259,79.0,79.0,79.0,79.0
201803122300,79.0,79.0,79.0,79.0
201803122301,79.0,79.0,79.0,79.0
201803122302,79.0,79.0,79.0,79.0
201803122303,79.0,79.0,79.0,79.0
201803122304,79.0,79.0,79.0,79.0
201803122305,79.0,79.0,79.0,79.0
201803122306,79.0,79.0,79.0,79.0
201803122307,79.0,79.0,79.0,79.0
201803122308,79.0,79.0,79.0,79.0
201803122309,79.0,79.0,79.0,79.0
201803122310,79.0,79.0,79.0,79.0
201803122311,79.0,79.0,79.0,79.0
201803122312,79.0,79.0,79.0,79.0
201803122313,79.0,79.0,79.0,79.0
201803122314,79.0,79.0,79.0,79.0
201803122315,79.0,79.0,79.0,79.0
201803122316,79.0,79.0,79.0,79.0
201803122317,79.0,79.0,79.0,79.0
201803122318,79.0,79.0,79.0,79.0
201803122319,79.0,79.0,79.0,79.0
201803122320,79.0,79.0,79.0,79.0
201803122321,79.0,79.0,79.0,79.0
201803122322,79.0,79.0,79.0,79.0
201803122323,79.0,79.0,79.0,79.0
201803122324,79.0,79.0,79.0,79.0
201803122325,79.0,79.0,79.0,78.0
201803122326,79.0,79.0,79.0,79.0
201803122327,79.0,79.0,79.0,79.0
201803122328,79.0,79.0,79.0,79.0
201803122329,79.0,79.0,79.0,79.0
201803122330,79.0,79.0,79.0,79.0
201803122331,79.0,79.0,79.0,79.0
201803122332,79.0,79.0,79.0,79.0
201803122333,79.0,79.0,79.0,79.0
201803122334,79.0,79.0,79.0,79.0
201803122335,79.0,79.0,79.0,79.0
201803122336,79.0,79.0,79.0,79.0
201803122337,79.0,79.0,79.0,79.0
201803122338,79.0,79.0,79.0,79.0
201803122339,79.0,79.0,79.0,79.0
201803122340,79.0,79.0,79.0,79.0
201803122341,79.0,79.0,79.0,79.0
